topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,7;1,1;1",7,512,50000,5850.2,5850.16,14.25,1480.42,44.1552,1459.86,20.27,0,237760,0.99,158765056,2038018048,10612000,93892608
"2;16,32;1,1;1,1;1",1,512,50000,19042.7,19042.64,4.376,1326.73,63.6062,1297.03,29.51,0,237764,0.99,159428608,2038796288,10616000,93057024
"2;16,32;1,11;1,1;1",11,512,50000,4963.89,4963.85,16.79,783.746,41.2699,765.45,18.2,0,235465,0.99,158904320,2038284288,10604000,93245440
"2;16,32;1,2;1,1;1",2,512,50000,11393.8,11393.71,7.314,1536.36,55.3537,1508.3,27.73,0,237722,0.99,159252480,2038636544,10604000,91369472
"2;16,32;1,3;1,1;1",3,512,50000,8737.74,8737.69,9.538,1606.58,49.2908,1583.82,22.39,0,237688,0.99,158830592,2038214656,10608000,81567744
"2;16,32;1,4;1,1;1",4,512,50000,7461.55,7461.5,11.17,1650.92,48.0239,1629.67,20.93,0,237790,0.99,158482432,2037878784,10608000,84746240
"2;16,32;1,16;1,1;1",16,512,50000,4138.13,4138.08,20.14,274.065,38.0091,258.26,15.88,0,186708,0.99,159997952,2039435264,10604000,85381120
"2;16,32;1,15;1,1;1",15,512,50000,4327.31,4327.26,19.26,295.947,38.0782,279.68,16.32,0,194172,0.99,159432704,2038874112,10608000,82583552
"2;16,32;1,8;1,1;1",8,512,50000,5247.68,5247.64,15.88,1344.16,42.4982,1325.28,18.52,0,237531,0.99,158838784,2038132736,10616000,82386944
"2;16,32;1,5;1,1;1",5,512,50000,6571.3,6571.26,12.68,1645.77,45.7044,1625.0,20.42,0,238598,0.99,160219136,2039541760,10620000,81317888
"2;16,32;1,14;1,1;1",14,512,50000,4394.47,4394.43,18.96,330.661,37.9499,314.24,16.48,0,208439,0.99,159121408,2038378496,10604000,82710528
"2;16,32;1,1;1,1;1",1,512,50000,19027.3,19027.29,4.38,1291.5,63.6072,1262.31,29.0,0,238645,0.99,160075776,2039369728,10616000,82137088
"2;16,32;1,12;1,1;1",12,512,50000,4800.79,4800.75,17.36,538.197,40.1996,520.7,17.44,0,232327,0.99,160083968,2039406592,10624000,85114880
"2;16,32;1,6;1,1;1",6,512,50000,6091.98,6091.94,13.68,1589.21,43.6593,1568.55,20.32,0,237858,0.99,159539200,2038927360,10616000,86585344
"2;16,32;1,7;1,1;1",7,512,50000,5628.96,5628.91,14.81,1507.9,42.828,1488.34,19.22,0,238275,0.99,161488896,2040799232,10612000,89960448
"2;16,32;1,13;1,1;1",13,512,50000,4904.26,4904.22,16.99,388.635,40.3975,370.16,18.5,0,233640,0.99,159342592,2038599680,10604000,86364160
"2;16,32;1,9;1,1;1",9,512,50000,5041.08,5041.03,16.53,1247.91,41.9326,1229.41,18.31,0,237420,0.99,158052352,2037415936,10604000,83759104
"2;16,32;1,10;1,1;1",10,512,50000,4869.76,4869.71,17.11,1056.58,41.8614,1037.69,18.7,0,236307,0.99,158601216,2037899264,10612000,82956288
"2;16,32;1,11;1,1;1",11,512,50000,4905.43,4905.39,16.99,755.946,40.9222,738.07,17.77,0,235946,0.99,159281152,2038657024,10612000,85164032
"2;16,32;1,11;1,1;1",11,512,50000,4900.84,4900.79,17.0,753.474,40.3805,735.11,18.27,0,235049,0.99,159399936,2038788096,10612000,85213184
"2;16,32;1,5;1,1;1",5,512,50000,6651.3,6651.25,12.53,1602.93,44.8592,1582.06,20.53,0,238662,0.99,160866304,2040193024,10624000,85905408
"2;16,32;1,8;1,1;1",8,512,50000,5385.03,5384.98,15.48,1332.87,43.2178,1313.34,19.26,0,237529,0.99,158699520,2037993472,10620000,86728704
"2;16,32;1,13;1,1;1",13,512,50000,4682.8,4682.75,17.8,424.188,39.6341,407.01,17.12,0,232809,0.99,160010240,2039308288,10616000,86429696
"2;16,32;1,2;1,1;1",2,512,50000,11128.7,11128.66,7.489,1564.72,53.8357,1539.82,24.58,0,237604,0.99,158048256,2037444608,10604000,84692992
"2;16,32;1,3;1,1;1",3,512,50000,8795.77,8795.72,9.475,1598.79,49.2699,1576.42,22.06,0,237775,0.99,159195136,2038505472,10612000,86224896
"2;16,32;1,16;1,1;1",16,512,50000,4252.35,4252.31,19.6,287.394,39.4937,270.19,17.26,0,186731,0.99,159551488,2038878208,10616000,85991424
"2;16,32;1,6;1,1;1",6,512,50000,6040.38,6040.33,13.8,1604.62,43.8434,1584.22,19.95,0,237764,0.99,158916608,2038214656,10620000,84078592
"2;16,32;1,15;1,1;1",15,512,50000,4180.49,4180.45,19.93,294.59,38.0195,278.64,15.96,0,191557,0.99,159375360,2038702080,10612000,87207936
"2;16,32;1,14;1,1;1",14,512,50000,4544.85,4544.8,18.34,343.963,39.2954,327.18,16.81,0,208718,0.99,159674368,2038996992,10616000,87650304
"2;16,32;1,10;1,1;1",10,512,50000,4891.45,4891.41,17.04,1030.94,41.2716,1012.64,18.11,0,237563,0.99,158736384,2038128640,10604000,83644416
"2;16,32;1,1;1,1;1",1,512,50000,18988.1,18988.04,4.389,1343.58,63.5561,1314.34,29.02,0,237998,0.99,161095680,2040422400,10624000,85823488
"2;16,32;1,9;1,1;1",9,512,50000,5181.45,5181.41,16.08,1221.37,42.6395,1202.29,18.89,0,237526,0.99,158408704,2037850112,10604000,84115456
"2;16,32;1,4;1,1;1",4,512,50000,7465.77,7465.72,11.16,1632.32,48.1551,1610.32,21.66,0,239691,0.99,160292864,2039586816,10612000,85712896
"2;16,32;1,12;1,1;1",12,512,50000,4702.14,4702.1,17.72,531.414,39.2255,514.41,16.98,0,231892,0.99,160497664,2039865344,10608000,86474752
"2;16,32;1,7;1,1;1",7,512,50000,5551.39,5551.35,15.01,1566.26,45.2005,1543.14,22.78,0,237670,0.99,159068160,2038386688,10612000,85643264
