topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,64,5000,10.41,8.006,3.93461,0.766356,97542144,301678592
"2;8,8;1,8;1,1",8,56,40000,603.01,70.76,108.521,28.8875,825864192,13635268608
"2;8,8;1,8;1,1",8,24,25000,318.66,32.69,21.211,6.66848,289525760,5294895104
"2;8,8;1,8;1,1",8,24,100,0.18,0.003878,0.0480412,0.0104515,0,0
"2;8,8;1,8;1,1",8,32,20000,132.74,40.18,14.5153,3.9796,267636736,3473035264
"2;8,8;1,8;1,1",8,32,100,0.13,0.005252,0.0481648,0.0114881,0,0
"2;8,8;1,8;1,1",8,48,20000,100.85,52.89,18.2346,4.20704,349184000,3555311616
"2;8,8;1,8;1,1",8,48,15000,52.89,42.55,11.9094,2.84794,258686976,2064072704
"2;8,8;1,8;1,1",8,48,35000,413.85,69.07,49.3451,11.8116,624783360,10432741376
"2;8,8;1,8;1,1",8,16,20000,224.99,23.71,10.391,3.65868,180256768,3384905728
"2;8,8;1,8;1,1",8,1,15000,1205.19,1.867,0.906016,0.863711,7794688,1811361792
"2;8,8;1,8;1,1",8,56,30000,301.15,59.77,66.1293,16.6904,604377088,7812198400
"2;8,8;1,8;1,1",8,56,100,0.23,0.002938,0.102396,0.0213224,11276288,15077376
"2;8,8;1,8;1,1",8,48,30000,275.28,65.39,35.7261,8.07094,520183808,7727501312
"2;8,8;1,8;1,1",8,8,15000,175.3,12.84,3.83396,1.63082,109219840,1913380864
"2;8,8;1,8;1,1",8,1,35000,15254.93,1.874,5.40137,5.27089,5660672,9809559552
"2;8,8;1,8;1,1",8,8,35000,2024.45,14.12,16.4561,7.82328,258211840,10063253504
"2;8,8;1,8;1,1",8,1,100,0.0,0.4374,0.00288523,0.000970488,0,0
"2;8,8;1,8;1,1",8,24,10000,40.05,16.65,4.84912,1.22939,120426496,924581888
"2;8,8;1,8;1,1",8,24,35000,780.58,36.62,38.7359,12.8887,400236544,10206420992
"2;8,8;1,8;1,1",8,64,30000,239.41,75.19,54.6606,14.2567,511553536,7718854656
"2;8,8;1,8;1,1",8,56,10000,37.81,17.64,12.8132,2.56355,212865024,1017868288
"2;8,8;1,8;1,1",8,24,30000,513.02,35.09,28.6065,9.20369,339738624,7545536512
"2;8,8;1,8;1,1",8,1,10000,358.23,1.861,0.396324,0.365313,5640192,809148416
"2;8,8;1,8;1,1",8,40,10000,39.64,16.82,8.86859,2.01168,168787968,973418496
"2;8,8;1,8;1,1",8,64,25000,155.19,67.13,37.9309,8.8079,428748800,5435514880
"2;8,8;1,8;1,1",8,40,30000,368.24,48.88,48.0323,13.3084,478343168,7685169152
"2;8,8;1,8;1,1",8,56,15000,73.18,30.75,21.8898,4.874,309002240,2114699264
"2;8,8;1,8;1,1",8,24,40000,1124.02,37.96,48.7719,16.3354,465387520,13272059904
"2;8,8;1,8;1,1",8,16,15000,106.35,21.16,6.83856,2.5474,136327168,1940688896
"2;8,8;1,8;1,1",8,16,100,0.08,0.008283,0.0251292,0.00595523,0,0
"2;8,8;1,8;1,1",8,64,20000,95.27,55.99,26.2653,5.84315,347938816,3553959936
"2;8,8;1,8;1,1",8,40,5000,14.9,5.595,3.82562,0.748302,88326144,292417536
"2;8,8;1,8;1,1",8,64,40000,486.77,87.66,85.1078,20.6284,674529280,13483270144
"2;8,8;1,8;1,1",8,16,25000,413.54,25.19,14.6929,5.13829,237219840,5242277888
"2;8,8;1,8;1,1",8,32,10000,27.8,23.99,4.64092,1.15263,137891840,942235648
"2;8,8;1,8;1,1",8,64,15000,54.46,41.32,18.901,4.09074,263106560,2068611072
"2;8,8;1,8;1,1",8,8,10000,56.81,11.74,1.82593,0.756606,72450048,876367872
"2;8,8;1,8;1,1",8,40,40000,762.71,55.94,79.8365,22.9922,657534976,13465460736
"2;8,8;1,8;1,1",8,24,5000,12.97,6.429,1.89049,0.418651,63782912,267546624
"2;8,8;1,8;1,1",8,1,5000,45.23,1.843,0.10545,0.0917293,5640192,209063936
"2;8,8;1,8;1,1",8,24,20000,182.21,29.27,14.4106,4.34781,236449792,3441471488
"2;8,8;1,8;1,1",8,8,40000,2995.91,14.24,21.378,10.3101,285818880,13091139584
"2;8,8;1,8;1,1",8,16,35000,1071.2,26.69,27.3833,10.3463,309776384,10115395584
"2;8,8;1,8;1,1",8,56,35000,433.71,65.91,87.046,22.9918,717443072,10525986816
"2;8,8;1,8;1,1",8,48,40000,593.27,71.92,60.9283,14.5506,700624896,13509218304
"2;8,8;1,8;1,1",8,40,100,0.23,0.003019,0.0821132,0.0176439,0,0
"2;8,8;1,8;1,1",8,16,10000,38.72,17.22,3.39548,1.03439,96174080,900173824
"2;8,8;1,8;1,1",8,48,100,0.14,0.004973,0.0482938,0.0133337,0,0
